Unit,LST,daylight,weekend,RH,Temp,PM25_raw,PM25_RH_T_corrected,PM25_MDE
33,2020-03-10 00:00:00,0,FALSE,31.9460696666667,17.5638713518519,8.28555525925926,8.07212165494969,7
33,2020-03-10 01:00:00,0,FALSE,32.2840335925926,18.5380777962963,6.35540725925926,6.19702869239271,7
33,2020-03-10 02:00:00,0,FALSE,33.459214462963,19.1946071296296,6.44407927777778,6.20750549828507,9
33,2020-03-10 03:00:00,0,FALSE,36.0457928333333,19.0281238888889,6.12721003703704,5.691973912187,8
33,2020-03-10 04:00:00,0,FALSE,37.7628564444444,19.0284535555556,6.01176827777778,5.44954990633147,9
33,2020-03-10 05:00:00,1,FALSE,39.5896487407407,18.9419444259259,6.1511575,5.42595199957637,7
33,2020-03-10 06:00:00,1,FALSE,40.6517587777778,19.1438492407407,6.16395214814815,5.35669258175493,8
33,2020-03-10 07:00:00,1,FALSE,41.3415341296296,19.3779646296296,7.3858402962963,6.35899847634384,10
33,2020-03-10 08:00:00,1,FALSE,43.4601316481481,19.6894855925926,8.85363185185185,7.38855749991144,8
33,2020-03-10 09:00:00,1,FALSE,46.2870728888889,19.9061372592593,10.5960177592593,8.46422660494813,10
33,2020-03-10 10:00:00,1,FALSE,45.2246750185185,20.9270019259259,10.2728312962963,8.38389739400458,9
33,2020-03-10 11:00:00,1,FALSE,45.0745617777778,21.6826606851852,8.76544418518518,7.19256694712263,6
33,2020-03-10 12:00:00,1,FALSE,44.1060473333333,22.6552715185185,5.09147561111111,4.25732630644693,8
33,2020-03-10 13:00:00,1,FALSE,42.5247308148148,23.923512962963,5.11820246296296,4.40411957660154,6
33,2020-03-10 14:00:00,1,FALSE,38.390294037037,26.3523273148148,4.22406988888889,3.8904045729991,8
33,2020-03-10 15:00:00,1,FALSE,31.4286037777778,29.7029878703704,2.31164105555556,2.35099554917376,7
33,2020-03-10 16:00:00,1,FALSE,30.4420105740741,29.6918295740741,2.74781983333333,2.82942630524686,7
33,2020-03-10 17:00:00,1,FALSE,35.0812185740741,27.1392375740741,2.93789622222222,2.83992376431464,5
33,2020-03-10 18:00:00,1,FALSE,36.978883462963,26.3625715740741,2.74026337037037,2.57589171193287,6
33,2020-03-10 19:00:00,1,FALSE,38.6194990740741,25.7353501111111,3.06474711111111,2.80979725654089,7
33,2020-03-10 20:00:00,0,FALSE,40.2285829814815,25.3418302962963,3.53798981481481,3.16436446675977,7
33,2020-03-10 21:00:00,0,FALSE,44.481234537037,24.4507706666667,2.77816644444444,2.32202728674594,6
33,2020-03-10 22:00:00,0,FALSE,51.0970023703704,22.4266553888889,0.268497462962963,0.200344725340374,4
33,2020-03-10 23:00:00,0,FALSE,46.2057863518518,20.9818478888889,0.334986685185185,0.269206745032505,4
33,2020-03-11 00:00:00,0,FALSE,45.0545319814815,19.378667962963,2.67818766666667,2.17640471379027,1
33,2020-03-11 01:00:00,0,FALSE,45.3616048888889,18.0488926481481,4.63701857407407,3.72454720695374,0
33,2020-03-11 02:00:00,0,FALSE,46.6446203148148,16.6775454444444,4.45077303703704,3.47532841032517,4
33,2020-03-11 03:00:00,0,FALSE,48.468222962963,15.5506194814815,3.12749198148148,2.35466356960551,5
33,2020-03-11 04:00:00,0,FALSE,47.8580449259259,14.3610322592593,3.68352714814815,2.7790729322916,0
33,2020-03-11 05:00:00,1,FALSE,49.1551213518519,13.2713425555556,3.9180602037037,2.87211885916836,2
33,2020-03-11 06:00:00,1,FALSE,48.5655632037037,12.5203190740741,4.29708722222222,3.16291057602636,3
33,2020-03-11 07:00:00,1,FALSE,49.387680537037,11.927885037037,5.7881202962963,4.18461455769766,3
33,2020-03-11 08:00:00,1,FALSE,41.9005797407407,15.2702563518519,6.31299383333333,5.26520169217454,4
33,2020-03-11 09:00:00,1,FALSE,33.6026888113208,18.9531291132075,4.68789232075472,4.50175154186482,9
33,2020-03-11 10:00:00,1,FALSE,33.8082390740741,18.0848154259259,3.82886435185185,3.65024695196571,2
33,2020-03-11 11:00:00,1,FALSE,33.0545432222222,18.6008433333333,4.11711788888889,3.97546576210274,2
33,2020-03-11 12:00:00,1,FALSE,28.3413567592593,20.937619537037,3.75634881481481,3.88875688175382,2
33,2020-03-11 13:00:00,1,FALSE,30.0161264259259,19.9722073148148,4.55258564814815,4.60014836523976,5
33,2020-03-11 14:00:00,1,FALSE,31.8696856481481,18.6593932592593,3.49332181481481,3.42669744281583,5
33,2020-03-11 15:00:00,1,FALSE,35.6811560925926,18.0726372592593,6.69722987037037,6.2225598737059,7
33,2020-03-11 16:00:00,1,FALSE,35.8986703333333,17.8196762222222,7.44810835185185,6.88974905406407,9
33,2020-03-11 17:00:00,1,FALSE,37.2108819444444,17.6847481111111,7.75895811111111,7.03971208966337,6
33,2020-03-11 18:00:00,1,FALSE,36.5830331666667,17.4301679444444,6.52708051851852,5.96685955260608,3
33,2020-03-11 19:00:00,1,FALSE,35.0395078333333,17.0784593333333,5.49625724074074,5.12395923893054,3
33,2020-03-11 20:00:00,0,FALSE,36.3748863518519,16.4489857592593,7.648661,6.97290509709145,4
33,2020-03-11 21:00:00,0,FALSE,39.5815468703704,15.0244547962963,9.66257227777778,8.3330226326656,7
33,2020-03-11 22:00:00,0,FALSE,41.4307536481481,14.5417932777778,12.6203568148148,10.5506924264578,7
33,2020-03-11 23:00:00,0,FALSE,44.376624462963,13.9129529814815,13.4874026296296,10.7254279533834,9
33,2020-03-12 00:00:00,0,FALSE,48.4261452777778,13.0111451666667,17.3248823518519,12.8277240005291,9
